epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,2.79501,1.15049,0.39241,1,1.08509,0.000416792,0.000416792,0.000416792
2,13.2764,0.61473,0.64557,1,0.8006,0.000863652,0.000863652,0.000863652
3,15.4249,0.24285,0.65823,1,0.92531,0.00127907,0.00127907,0.00127907
4,17.5753,0.13978,0.64557,1,1.02718,0.00128753,0.00128753,0.00128753
5,19.6898,0.06494,0.63291,1,1.39734,0.00124037,0.00124037,0.00124037
6,21.8352,0.0463,0.64557,1,1.36417,0.00119322,0.00119322,0.00119322
7,23.9628,0.01856,0.63291,1,1.70264,0.00114606,0.00114606,0.00114606
8,26.1111,0.04238,0.64557,1,2.11192,0.0010989,0.0010989,0.0010989
9,28.3059,0.11936,0.63291,1,2.06369,0.00105174,0.00105174,0.00105174
10,30.4268,0.13043,0.64557,1,2.24077,0.00100459,0.00100459,0.00100459
11,32.6317,0.14145,0.64557,1,2.1251,0.00095743,0.00095743,0.00095743
12,34.8133,0.01555,0.64557,1,2.20232,0.000910273,0.000910273,0.000910273
13,36.9132,0.04557,0.65823,1,1.7216,0.000863116,0.000863116,0.000863116
14,39.0731,0.02352,0.64557,1,1.71957,0.000815959,0.000815959,0.000815959
15,41.21,0.06572,0.64557,1,1.73105,0.000768802,0.000768802,0.000768802
16,43.3673,0.01411,0.67089,1,1.75823,0.000721645,0.000721645,0.000721645
17,45.5513,0.01616,0.63291,1,1.57309,0.000674488,0.000674488,0.000674488
18,47.6756,0.01257,0.67089,1,1.65103,0.000627331,0.000627331,0.000627331
19,49.8139,0.03438,0.64557,1,1.57578,0.000580174,0.000580174,0.000580174
20,51.9624,0.02358,0.65823,1,1.66085,0.000533017,0.000533017,0.000533017
21,54.111,0.01058,0.65823,1,1.57185,0.00048586,0.00048586,0.00048586
22,56.1973,0.01949,0.64557,1,1.55381,0.000438703,0.000438703,0.000438703
23,58.3203,0.01939,0.64557,1,1.75919,0.000391546,0.000391546,0.000391546
24,60.4273,0.01719,0.65823,1,1.81731,0.000344389,0.000344389,0.000344389
25,62.5317,0.0355,0.62025,1,1.54095,0.000297232,0.000297232,0.000297232
26,64.6732,0.00962,0.64557,1,1.78411,0.000250075,0.000250075,0.000250075
27,66.7762,0.04169,0.65823,1,1.68867,0.000202918,0.000202918,0.000202918
28,68.8675,0.00449,0.67089,1,1.81635,0.000155761,0.000155761,0.000155761
29,70.9635,0.0032,0.65823,1,2.2872,0.000108604,0.000108604,0.000108604
30,73.1067,0.07603,0.65823,1,1.88085,6.1447e-05,6.1447e-05,6.1447e-05
